Date,Store,Item,Sales,Month,Week,IsHoliday,Store_ID,Store_Type,Region,Item_ID,Category,Price,Temperature,Rainfall,Is_Ugadi,Is_Winter,Discount
2024-01-01,Jammu,Packed Bottled Water,16,1,1,0,1,Tourism,North,101,Beverage,20,4.69124583,3.490513993,0,1,0
2024-01-01,Jammu,Dry Fruits,86,1,1,0,1,Tourism,North,102,Grocery,250,2.934873929,0.696030659,0,1,10
2024-01-01,Jammu,Woolen Jackets,60,1,1,0,1,Tourism,North,103,Clothing,1500,5.823236685,9.916456145,0,1,100
2024-01-01,Jammu,Mosquito Repellents,6,1,1,0,1,Tourism,North,104,Health,80,4.415913621,6.088743163,0,1,5
2024-01-01,Jammu,Cold Beverages,4,1,1,0,1,Tourism,North,105,Beverage,30,5.637608684,2.962963968,0,1,2
2024-01-01,Jammu,Rice,3,1,1,0,1,Tourism,North,106,Grocery,60,7.351640703,1.370271552,0,1,3
2024-01-01,Hyderabad,Packed Bottled Water,5,1,1,0,2,Metro,South,101,Beverage,20,18.61585916,7.779916716,0,0,0
2024-01-01,Hyderabad,Dry Fruits,3,1,1,0,2,Metro,South,102,Grocery,250,27.46739294,4.568640431,0,0,10
2024-01-01,Hyderabad,Woolen Jackets,6,1,1,0,2,Metro,South,103,Clothing,1500,26.58993114,6.064597108,0,0,100
2024-01-01,Hyderabad,Mosquito Repellents,31,1,1,0,2,Metro,South,104,Health,80,19.41142678,2.587751774,0,0,5
2024-01-01,Hyderabad,Cold Beverages,15,1,1,0,2,Metro,South,105,Beverage,30,26.31504087,3.678796682,0,0,2
2024-01-01,Hyderabad,Rice,24,1,1,0,2,Metro,South,106,Grocery,60,28.3956978,8.966811496,0,0,3
2024-01-02,Jammu,Packed Bottled Water,20,1,1,0,1,Tourism,North,101,Beverage,20,8.132983994,5.65732875,0,1,0
2024-01-02,Jammu,Dry Fruits,69,1,1,0,1,Tourism,North,102,Grocery,250,7.539511867,5.234867855,0,1,10
2024-01-02,Jammu,Woolen Jackets,103,1,1,0,1,Tourism,North,103,Clothing,1500,4.312603092,7.24604353,0,1,100
2024-01-02,Jammu,Mosquito Repellents,4,1,1,0,1,Tourism,North,104,Health,80,3.013447322,8.917762622,0,1,5
2024-01-02,Jammu,Cold Beverages,4,1,1,0,1,Tourism,North,105,Beverage,30,5.052105521,2.87111148,0,1,2
2024-01-02,Jammu,Rice,6,1,1,0,1,Tourism,North,106,Grocery,60,8.989702064,5.957513015,0,1,3
2024-01-02,Hyderabad,Packed Bottled Water,5,1,1,0,2,Metro,South,101,Beverage,20,15.85781569,5.404059689,0,0,0
2024-01-02,Hyderabad,Dry Fruits,3,1,1,0,2,Metro,South,102,Grocery,250,24.52899496,5.130046109,0,0,10
2024-01-02,Hyderabad,Woolen Jackets,3,1,1,0,2,Metro,South,103,Clothing,1500,16.60500788,4.19346916,0,0,100
2024-01-02,Hyderabad,Mosquito Repellents,14,1,1,0,2,Metro,South,104,Health,80,23.0903743,2.001697505,0,0,5
2024-01-02,Hyderabad,Cold Beverages,25,1,1,0,2,Metro,South,105,Beverage,30,21.69054071,0.287017097,0,0,2
2024-01-02,Hyderabad,Rice,11,1,1,0,2,Metro,South,106,Grocery,60,29.08309246,3.108173443,0,0,3
2024-01-03,Jammu,Packed Bottled Water,12,1,1,0,1,Tourism,North,101,Beverage,20,5.694488132,2.597484248,0,1,0
2024-01-03,Jammu,Dry Fruits,42,1,1,0,1,Tourism,North,102,Grocery,250,5.630753822,7.13478703,0,1,10
2024-01-03,Jammu,Woolen Jackets,82,1,1,0,1,Tourism,North,103,Clothing,1500,6.797219009,7.934855283,0,1,100
2024-01-03,Jammu,Mosquito Repellents,2,1,1,0,1,Tourism,North,104,Health,80,4.79612938,4.260682408,0,1,5
2024-01-03,Jammu,Cold Beverages,3,1,1,0,1,Tourism,North,105,Beverage,30,3.38772104,1.890811562,0,1,2
2024-01-03,Jammu,Rice,6,1,1,0,1,Tourism,North,106,Grocery,60,6.900570606,6.17553202,0,1,3
2024-01-03,Hyderabad,Packed Bottled Water,4,1,1,0,2,Metro,South,101,Beverage,20,31.68077071,7.290551354,0,0,0
2024-01-03,Hyderabad,Dry Fruits,6,1,1,0,2,Metro,South,102,Grocery,250,35.73517429,6.172997305,0,0,10
2024-01-03,Hyderabad,Woolen Jackets,3,1,1,0,2,Metro,South,103,Clothing,1500,23.66915157,5.232176653,0,0,100
2024-01-03,Hyderabad,Mosquito Repellents,19,1,1,0,2,Metro,South,104,Health,80,17.72568476,9.128283279,0,0,5
2024-01-03,Hyderabad,Cold Beverages,26,1,1,0,2,Metro,South,105,Beverage,30,24.44502221,8.243905097,0,0,2
2024-01-03,Hyderabad,Rice,23,1,1,0,2,Metro,South,106,Grocery,60,21.76051216,0.595319127,0,0,3
2024-01-04,Jammu,Packed Bottled Water,22,1,1,0,1,Tourism,North,101,Beverage,20,8.128436614,1.824856796,0,1,0
2024-01-04,Jammu,Dry Fruits,86,1,1,0,1,Tourism,North,102,Grocery,250,9.080235291,9.587116144,0,1,10
